rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,turkID,ExpEndTime,button_pressed,trials_remaining,resource_choice,resource_choice_value,best_resource,total_earnings
16032,32,text,0,16055,0.0-0.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
20609,32,text,1,36770,0.0-1.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
5589,32,text,2,42461,0.0-2.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
28714,32,text,3,71280,0.0-3.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
20551,32,mine-text,4,92684,0.0-4.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
38948,32,text,5,131736,0.0-5.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
16085,32,text,6,147924,0.0-6.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
19940,32,mine-text,7,168693,0.0-7.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
8542,,forage01,8,177348,0.0-8.0-0.0,A10YS8AVLQWUZZ,1.5169E+12,0,52,gold,0,no mineshafts yet,0
10956,,forage01,9,188410,0.0-8.0-1.0,A10YS8AVLQWUZZ,1.5169E+12,0,51,dirt,0,gold,0
3866,,forage01,10,192386,0.0-8.0-2.0,A10YS8AVLQWUZZ,1.5169E+12,0,50,dirt,0,gold,0
4485,,forage01,11,196980,0.0-8.0-3.0,A10YS8AVLQWUZZ,1.5169E+12,0,49,dirt,0,gold,0
2049,,forage01,12,199139,0.0-8.0-4.0,A10YS8AVLQWUZZ,1.5169E+12,1,48,gold,1000,gold,1000
1533,,forage01,13,200777,0.0-8.0-5.0,A10YS8AVLQWUZZ,1.5169E+12,1,47,gold,1000,gold,2000
2055,,forage01,14,202938,0.0-8.0-6.0,A10YS8AVLQWUZZ,1.5169E+12,1,46,gold,1000,gold,3000
3647,,forage01,15,206692,0.0-8.0-7.0,A10YS8AVLQWUZZ,1.5169E+12,1,45,gold,1000,gold,4000
1884,,forage01,16,208682,0.0-8.0-8.0,A10YS8AVLQWUZZ,1.5169E+12,1,44,gold,1000,gold,5000
1080,,forage01,17,209875,0.0-8.0-9.0,A10YS8AVLQWUZZ,1.5169E+12,1,43,gold,1000,gold,6000
2852,,forage01,18,212835,0.0-8.0-10.0,A10YS8AVLQWUZZ,1.5169E+12,1,42,gold,1000,gold,7000
1531,,forage01,19,214475,0.0-8.0-11.0,A10YS8AVLQWUZZ,1.5169E+12,1,41,gold,1000,gold,8000
3682,,forage01,20,218269,0.0-8.0-12.0,A10YS8AVLQWUZZ,1.5169E+12,1,40,gold,1000,gold,9000
612,,forage01,21,218988,0.0-8.0-13.0,A10YS8AVLQWUZZ,1.5169E+12,1,39,gold,1000,gold,10000
686,,forage01,22,219781,0.0-8.0-14.0,A10YS8AVLQWUZZ,1.5169E+12,1,38,gold,1000,gold,11000
911,,forage01,23,220800,0.0-8.0-15.0,A10YS8AVLQWUZZ,1.5169E+12,1,37,gold,1000,gold,12000
897,,forage01,24,221805,0.0-8.0-16.0,A10YS8AVLQWUZZ,1.5169E+12,1,36,gold,1000,gold,13000
791,,forage01,25,222716,0.0-8.0-17.0,A10YS8AVLQWUZZ,1.5169E+12,1,35,gold,1000,gold,14000
677,,forage01,26,223499,0.0-8.0-18.0,A10YS8AVLQWUZZ,1.5169E+12,1,34,gold,1000,gold,15000
1894,,forage01,27,225500,0.0-8.0-19.0,A10YS8AVLQWUZZ,1.5169E+12,1,33,gold,1000,gold,16000
750,,forage01,28,226357,0.0-8.0-20.0,A10YS8AVLQWUZZ,1.5169E+12,1,32,gold,1000,gold,17000
678,,forage01,29,227141,0.0-8.0-21.0,A10YS8AVLQWUZZ,1.5169E+12,1,31,gold,1000,gold,18000
1237,,forage01,30,228485,0.0-8.0-22.0,A10YS8AVLQWUZZ,1.5169E+12,0,30,dirt,0,gold,18000
2267,,forage01,31,230863,0.0-8.0-23.0,A10YS8AVLQWUZZ,1.5169E+12,0,29,dirt,0,gold,18000
1797,,forage01,32,232774,0.0-8.0-24.0,A10YS8AVLQWUZZ,1.5169E+12,0,28,dirt,0,gold,18000
1037,,forage01,33,233917,0.0-8.0-25.0,A10YS8AVLQWUZZ,1.5169E+12,1,27,gold,1000,gold,19000
649,,forage01,34,234718,0.0-8.0-26.0,A10YS8AVLQWUZZ,1.5169E+12,1,26,gold,1000,gold,20000
575,,forage01,35,235399,0.0-8.0-27.0,A10YS8AVLQWUZZ,1.5169E+12,1,25,gold,1000,gold,21000
610,,forage01,36,236117,0.0-8.0-28.0,A10YS8AVLQWUZZ,1.5169E+12,1,24,gold,1000,gold,22000
609,,forage01,37,236839,0.0-8.0-29.0,A10YS8AVLQWUZZ,1.5169E+12,1,23,gold,1000,gold,23000
501,,forage01,38,237446,0.0-8.0-30.0,A10YS8AVLQWUZZ,1.5169E+12,1,22,gold,1000,gold,24000
553,,forage01,39,238110,0.0-8.0-31.0,A10YS8AVLQWUZZ,1.5169E+12,1,21,gold,1000,gold,25000
560,,forage01,40,238777,0.0-8.0-32.0,A10YS8AVLQWUZZ,1.5169E+12,1,20,gold,1000,gold,26000
729,,forage01,41,239622,0.0-8.0-33.0,A10YS8AVLQWUZZ,1.5169E+12,1,19,gold,1000,gold,27000
502,,forage01,42,240231,0.0-8.0-34.0,A10YS8AVLQWUZZ,1.5169E+12,1,18,gold,1000,gold,28000
516,,forage01,43,240856,0.0-8.0-35.0,A10YS8AVLQWUZZ,1.5169E+12,1,17,gold,1000,gold,29000
548,,forage01,44,241528,0.0-8.0-36.0,A10YS8AVLQWUZZ,1.5169E+12,1,16,gold,1000,gold,30000
508,,forage01,45,242144,0.0-8.0-37.0,A10YS8AVLQWUZZ,1.5169E+12,1,15,gold,1000,gold,31000
475,,forage01,46,242727,0.0-8.0-38.0,A10YS8AVLQWUZZ,1.5169E+12,1,14,gold,1000,gold,32000
494,,forage01,47,243326,0.0-8.0-39.0,A10YS8AVLQWUZZ,1.5169E+12,1,13,gold,1000,gold,33000
509,,forage01,48,243943,0.0-8.0-40.0,A10YS8AVLQWUZZ,1.5169E+12,1,12,gold,1000,gold,34000
511,,forage01,49,244561,0.0-8.0-41.0,A10YS8AVLQWUZZ,1.5169E+12,1,11,gold,1000,gold,35000
483,,forage01,50,245151,0.0-8.0-42.0,A10YS8AVLQWUZZ,1.5169E+12,1,10,gold,1000,gold,36000
533,,forage01,51,245791,0.0-8.0-43.0,A10YS8AVLQWUZZ,1.5169E+12,1,9,gold,1000,gold,37000
517,,forage01,52,246418,0.0-8.0-44.0,A10YS8AVLQWUZZ,1.5169E+12,1,8,gold,1000,gold,38000
523,,forage01,53,247048,0.0-8.0-45.0,A10YS8AVLQWUZZ,1.5169E+12,1,7,gold,1000,gold,39000
539,,forage01,54,247696,0.0-8.0-46.0,A10YS8AVLQWUZZ,1.5169E+12,1,6,gold,1000,gold,40000
518,,forage01,55,248320,0.0-8.0-47.0,A10YS8AVLQWUZZ,1.5169E+12,1,5,gold,1000,gold,41000
2720,,forage01,56,251170,0.0-8.0-48.0,A10YS8AVLQWUZZ,1.5169E+12,1,4,gold,1000,gold,42000
635,,forage01,57,251912,0.0-8.0-49.0,A10YS8AVLQWUZZ,1.5169E+12,1,3,gold,1000,gold,43000
685,,forage01,58,252703,0.0-8.0-50.0,A10YS8AVLQWUZZ,1.5169E+12,1,2,gold,1000,gold,44000
826,,forage01,59,253636,0.0-8.0-51.0,A10YS8AVLQWUZZ,1.5169E+12,1,1,gold,1000,gold,45000
12031,32,mine-text,60,266477,0.0-9.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
3271,,forage01,61,269855,0.0-10.0-0.0,A10YS8AVLQWUZZ,1.5169E+12,0,52,gold,0,no mineshafts yet,0
2858,,forage01,62,272820,0.0-10.0-1.0,A10YS8AVLQWUZZ,1.5169E+12,0,51,dirt,0,gold,0
2082,,forage01,63,275009,0.0-10.0-2.0,A10YS8AVLQWUZZ,1.5169E+12,0,50,gold,0,gold,0
2972,,forage01,64,278087,0.0-10.0-3.0,A10YS8AVLQWUZZ,1.5169E+12,0,49,dirt,0,gold,0
885,,forage01,65,279080,0.0-10.0-4.0,A10YS8AVLQWUZZ,1.5169E+12,0,48,gold,0,gold,0
2154,,forage01,66,281340,0.0-10.0-5.0,A10YS8AVLQWUZZ,1.5169E+12,0,47,gold,0,gold,0
1547,,forage01,67,282992,0.0-10.0-6.0,A10YS8AVLQWUZZ,1.5169E+12,0,46,dirt,0,gold,0
1045,,forage01,68,284144,0.0-10.0-7.0,A10YS8AVLQWUZZ,1.5169E+12,0,45,dirt,0,gold,0
1140,,forage01,69,285404,0.0-10.0-8.0,A10YS8AVLQWUZZ,1.5169E+12,0,44,dirt,0,gold,0
2442,,forage01,70,287953,0.0-10.0-9.0,A10YS8AVLQWUZZ,1.5169E+12,0,43,gold,0,gold,0
3364,,forage01,71,291428,0.0-10.0-10.0,A10YS8AVLQWUZZ,1.5169E+12,0,42,dirt,0,gold,0
1592,,forage01,72,293133,0.0-10.0-11.0,A10YS8AVLQWUZZ,1.5169E+12,0,41,gold,0,gold,0
7448,,forage01,73,300690,0.0-10.0-12.0,A10YS8AVLQWUZZ,1.5169E+12,1,40,gold,1000,gold,1000
908,,forage01,74,301706,0.0-10.0-13.0,A10YS8AVLQWUZZ,1.5169E+12,1,39,gold,1000,gold,2000
633,,forage01,75,302471,0.0-10.0-14.0,A10YS8AVLQWUZZ,1.5169E+12,1,38,gold,1000,gold,3000
521,,forage01,76,303099,0.0-10.0-15.0,A10YS8AVLQWUZZ,1.5169E+12,1,37,gold,1000,gold,4000
571,,forage01,77,303779,0.0-10.0-16.0,A10YS8AVLQWUZZ,1.5169E+12,1,36,gold,1000,gold,5000
556,,forage01,78,304443,0.0-10.0-17.0,A10YS8AVLQWUZZ,1.5169E+12,1,35,gold,1000,gold,6000
590,,forage01,79,305143,0.0-10.0-18.0,A10YS8AVLQWUZZ,1.5169E+12,1,34,gold,1000,gold,7000
286,,forage01,80,305546,0.0-10.0-19.0,A10YS8AVLQWUZZ,1.5169E+12,1,33,gold,1000,gold,8000
283,,forage01,81,305946,0.0-10.0-20.0,A10YS8AVLQWUZZ,1.5169E+12,1,32,gold,1000,gold,9000
350,,forage01,82,306404,0.0-10.0-21.0,A10YS8AVLQWUZZ,1.5169E+12,1,31,gold,1000,gold,10000
307,,forage01,83,306819,0.0-10.0-22.0,A10YS8AVLQWUZZ,1.5169E+12,1,30,gold,1000,gold,11000
334,,forage01,84,307262,0.0-10.0-23.0,A10YS8AVLQWUZZ,1.5169E+12,1,29,gold,1000,gold,12000
312,,forage01,85,307715,0.0-10.0-24.0,A10YS8AVLQWUZZ,1.5169E+12,1,28,gold,1000,gold,13000
391,,forage01,86,308221,0.0-10.0-25.0,A10YS8AVLQWUZZ,1.5169E+12,1,27,gold,1000,gold,14000
426,,forage01,87,308755,0.0-10.0-26.0,A10YS8AVLQWUZZ,1.5169E+12,1,26,gold,1000,gold,15000
439,,forage01,88,309302,0.0-10.0-27.0,A10YS8AVLQWUZZ,1.5169E+12,1,25,gold,1000,gold,16000
441,,forage01,89,309851,0.0-10.0-28.0,A10YS8AVLQWUZZ,1.5169E+12,1,24,gold,1000,gold,17000
324,,forage01,90,310284,0.0-10.0-29.0,A10YS8AVLQWUZZ,1.5169E+12,1,23,gold,1000,gold,18000
353,,forage01,91,310747,0.0-10.0-30.0,A10YS8AVLQWUZZ,1.5169E+12,1,22,gold,1000,gold,19000
345,,forage01,92,311204,0.0-10.0-31.0,A10YS8AVLQWUZZ,1.5169E+12,1,21,gold,1000,gold,20000
389,,forage01,93,311701,0.0-10.0-32.0,A10YS8AVLQWUZZ,1.5169E+12,1,20,gold,1000,gold,21000
426,,forage01,94,312236,0.0-10.0-33.0,A10YS8AVLQWUZZ,1.5169E+12,1,19,gold,1000,gold,22000
364,,forage01,95,312708,0.0-10.0-34.0,A10YS8AVLQWUZZ,1.5169E+12,1,18,gold,1000,gold,23000
476,,forage01,96,313290,0.0-10.0-35.0,A10YS8AVLQWUZZ,1.5169E+12,1,17,gold,1000,gold,24000
415,,forage01,97,313814,0.0-10.0-36.0,A10YS8AVLQWUZZ,1.5169E+12,1,16,gold,1000,gold,25000
440,,forage01,98,314363,0.0-10.0-37.0,A10YS8AVLQWUZZ,1.5169E+12,1,15,gold,1000,gold,26000
487,,forage01,99,314963,0.0-10.0-38.0,A10YS8AVLQWUZZ,1.5169E+12,1,14,gold,1000,gold,27000
804,,forage01,100,315893,0.0-10.0-39.0,A10YS8AVLQWUZZ,1.5169E+12,1,13,gold,1000,gold,28000
434,,forage01,101,316435,0.0-10.0-40.0,A10YS8AVLQWUZZ,1.5169E+12,1,12,gold,1000,gold,29000
397,,forage01,102,316940,0.0-10.0-41.0,A10YS8AVLQWUZZ,1.5169E+12,1,11,gold,1000,gold,30000
441,,forage01,103,317500,0.0-10.0-42.0,A10YS8AVLQWUZZ,1.5169E+12,1,10,gold,1000,gold,31000
467,,forage01,104,318076,0.0-10.0-43.0,A10YS8AVLQWUZZ,1.5169E+12,1,9,gold,1000,gold,32000
406,,forage01,105,318589,0.0-10.0-44.0,A10YS8AVLQWUZZ,1.5169E+12,1,8,gold,1000,gold,33000
452,,forage01,106,319149,0.0-10.0-45.0,A10YS8AVLQWUZZ,1.5169E+12,1,7,gold,1000,gold,34000
476,,forage01,107,319732,0.0-10.0-46.0,A10YS8AVLQWUZZ,1.5169E+12,1,6,gold,1000,gold,35000
474,,forage01,108,320315,0.0-10.0-47.0,A10YS8AVLQWUZZ,1.5169E+12,1,5,gold,1000,gold,36000
422,,forage01,109,320853,0.0-10.0-48.0,A10YS8AVLQWUZZ,1.5169E+12,1,4,gold,1000,gold,37000
571,,forage01,110,321532,0.0-10.0-49.0,A10YS8AVLQWUZZ,1.5169E+12,1,3,gold,1000,gold,38000
498,,forage01,111,322141,0.0-10.0-50.0,A10YS8AVLQWUZZ,1.5169E+12,1,2,gold,1000,gold,39000
490,,forage01,112,322740,0.0-10.0-51.0,A10YS8AVLQWUZZ,1.5169E+12,1,1,gold,1000,gold,40000
3984,32,mine-text,113,327599,0.0-11.0,A10YS8AVLQWUZZ,1.5169E+12,,,,,,
2526,,forage01,114,330231,0.0-12.0-0.0,A10YS8AVLQWUZZ,1.5169E+12,0,52,gold,0,no mineshafts yet,0
4619,,forage01,115,334958,0.0-12.0-1.0,A10YS8AVLQWUZZ,1.5169E+12,0,51,dirt,0,gold,0
997,,forage01,116,336062,0.0-12.0-2.0,A10YS8AVLQWUZZ,1.5169E+12,0,50,gold,0,gold,0
963,,forage01,117,337134,0.0-12.0-3.0,A10YS8AVLQWUZZ,1.5169E+12,0,49,gold,0,gold,0
1015,,forage01,118,338255,0.0-12.0-4.0,A10YS8AVLQWUZZ,1.5169E+12,0,48,dirt,0,gold,0
749,,forage01,119,339110,0.0-12.0-5.0,A10YS8AVLQWUZZ,1.5169E+12,0,47,dirt,0,gold,0
677,,forage01,120,339893,0.0-12.0-6.0,A10YS8AVLQWUZZ,1.5169E+12,0,46,dirt,0,gold,0
632,,forage01,121,340632,0.0-12.0-7.0,A10YS8AVLQWUZZ,1.5169E+12,0,45,dirt,0,gold,0
882,,forage01,122,341647,0.0-12.0-8.0,A10YS8AVLQWUZZ,1.5169E+12,0,44,dirt,0,gold,0
1590,,forage01,123,343367,0.0-12.0-9.0,A10YS8AVLQWUZZ,1.5169E+12,0,43,dirt,0,gold,0
615,,forage01,124,344090,0.0-12.0-10.0,A10YS8AVLQWUZZ,1.5169E+12,0,42,dirt,0,gold,0
2352,,forage01,125,346558,0.0-12.0-11.0,A10YS8AVLQWUZZ,1.5169E+12,1,41,gold,1000,gold,1000
653,,forage01,126,347320,0.0-12.0-12.0,A10YS8AVLQWUZZ,1.5169E+12,1,40,gold,1000,gold,2000
572,,forage01,127,348000,0.0-12.0-13.0,A10YS8AVLQWUZZ,1.5169E+12,1,39,gold,1000,gold,3000
582,,forage01,128,348694,0.0-12.0-14.0,A10YS8AVLQWUZZ,1.5169E+12,1,38,gold,1000,gold,4000
381,,forage01,129,349184,0.0-12.0-15.0,A10YS8AVLQWUZZ,1.5169E+12,1,37,gold,1000,gold,5000
365,,forage01,130,349655,0.0-12.0-16.0,A10YS8AVLQWUZZ,1.5169E+12,1,36,gold,1000,gold,6000
332,,forage01,131,350096,0.0-12.0-17.0,A10YS8AVLQWUZZ,1.5169E+12,1,35,gold,1000,gold,7000
369,,forage01,132,350576,0.0-12.0-18.0,A10YS8AVLQWUZZ,1.5169E+12,1,34,gold,1000,gold,8000
380,,forage01,133,351063,0.0-12.0-19.0,A10YS8AVLQWUZZ,1.5169E+12,1,33,gold,1000,gold,9000
403,,forage01,134,351576,0.0-12.0-20.0,A10YS8AVLQWUZZ,1.5169E+12,1,32,gold,1000,gold,10000
371,,forage01,135,352056,0.0-12.0-21.0,A10YS8AVLQWUZZ,1.5169E+12,1,31,gold,1000,gold,11000
365,,forage01,136,352529,0.0-12.0-22.0,A10YS8AVLQWUZZ,1.5169E+12,1,30,gold,1000,gold,12000
342,,forage01,137,352979,0.0-12.0-23.0,A10YS8AVLQWUZZ,1.5169E+12,1,29,gold,1000,gold,13000
207,,forage01,138,353295,0.0-12.0-24.0,A10YS8AVLQWUZZ,1.5169E+12,1,28,gold,1000,gold,14000
