stim_id,source_pattern,mapping_pattern,target_anchored,best_response
1,ordered,ordered,FALSE,2
2,ordered,ordered,TRUE,3
3,ordered,unordered,FALSE,3
4,ordered,unordered,TRUE,1
5,ordered,none,FALSE,any
6,ordered,none,TRUE,any
7,reversed,ordered,FALSE,1
8,reversed,ordered,TRUE,1
9,reversed,unordered,FALSE,3
10,reversed,unordered,TRUE,3
11,reversed,none,FALSE,any
12,reversed,none,TRUE,any
13,none,ordered,FALSE,any
14,none,ordered,TRUE,2
15,none,unordered,FALSE,any
16,none,unordered,TRUE,1
17,none,none,FALSE,any
18,none,none,TRUE,any