"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":9343},{""page_index"":1,""viewing_time"":21415},{""page_index"":2,""viewing_time"":3417}]","34175","instructions","0","34177","0.0-0.0","ANFWGSQ8BQRZ","1649938904661","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19543},{""page_index"":1,""viewing_time"":18328},{""page_index"":2,""viewing_time"":20984},{""page_index"":3,""viewing_time"":23392},{""page_index"":4,""viewing_time"":22033},{""page_index"":5,""viewing_time"":7608},{""page_index"":6,""viewing_time"":9432},{""page_index"":7,""viewing_time"":7392},{""page_index"":8,""viewing_time"":4671}]","133383","instructions","1","167560","0.0-1.0","ANFWGSQ8BQRZ","1649938904661","","","","","","","","","","","","","","","","",""
"","52889","darkroom-dig","2","220450","0.0-2.0-0.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","29735","darkroom-dig","3","250186","0.0-2.0-1.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X1-Y1"",""clickable-R1-X0-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","28823","darkroom-dig","4","279010","0.0-2.0-2.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R0-X1-Y1"",""clickable-R1-X0-Y0"",""clickable-R0-X2-Y0"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","40631","darkroom-dig","5","319642","0.0-2.0-3.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X2-Y2"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X2-Y2"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","35728","darkroom-dig","6","355371","0.0-2.0-4.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X1-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","26351","darkroom-dig","7","381723","0.0-2.0-5.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","36247","darkroom-dig","8","417970","0.0-2.0-6.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X1-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X2-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","25488","darkroom-dig","9","443459","0.0-2.0-7.0","ANFWGSQ8BQRZ","1649938904661","[""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":7958}]","7959","instructions","10","451419","0.0-3.0","ANFWGSQ8BQRZ","1649938904661","","","","","","","","","","","","","","","","",""
